object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J115726.06-010459.63_N708,--,N708,512,70,S2021A,object,GAMA_J115726.06-010459.63_N708,LeathaudGreene,Merian,179.35858536641456,2020B-0288,-1.0832321354179888,600.0,1,False
GAMA_J115836.72-010759.80_N708,--,N708,512,71,S2021A,object,GAMA_J115836.72-010759.80_N708,LeathaudGreene,Merian,179.65303212981965,2020B-0288,-1.1332792253582713,600.0,1,False
GAMA_J115947.39-011059.87_N708,--,N708,512,72,S2021A,object,GAMA_J115947.39-011059.87_N708,LeathaudGreene,Merian,179.9474888017356,2020B-0288,-1.183299503179014,600.0,1,False
GAMA_J115616.23+014659.27_N708,--,N708,512,73,S2021A,object,GAMA_J115616.23+014659.27_N708,LeathaudGreene,Merian,179.06764897147448,2020B-0288,1.7831324811845823,600.0,1,False
GAMA_J115726.20+014159.16_N708,--,N708,512,74,S2021A,object,GAMA_J115726.20+014159.16_N708,LeathaudGreene,Merian,179.35917440121986,2020B-0288,1.6997678022601033,600.0,1,False
GAMA_J115836.80+013858.99_N708,--,N708,512,75,S2021A,object,GAMA_J115836.80+013858.99_N708,LeathaudGreene,Merian,179.65336546440847,2020B-0288,1.649720754683439,600.0,1,False
GAMA_J115947.41+013558.92_N708,--,N708,512,76,S2021A,object,GAMA_J115947.41+013558.92_N708,LeathaudGreene,Merian,179.947541474039,2020B-0288,1.5997004963226404,600.0,1,False
GAMA_J115232.52+002336.70_N708,--,N708,512,77,S2021A,object,GAMA_J115232.52+002336.70_N708,LeathaudGreene,Merian,178.13550736936457,2020B-0288,0.3935295462289744,600.0,1,False
GAMA_J115342.51+001836.38_N708,--,N708,512,78,S2021A,object,GAMA_J115342.51+001836.38_N708,LeathaudGreene,Merian,178.42714203495797,2020B-0288,0.3101082454839691,600.0,1,False
GAMA_J115453.15+001535.93_N708,--,N708,512,79,S2021A,object,GAMA_J115453.15+001535.93_N708,LeathaudGreene,Merian,178.72146485531064,2020B-0288,0.2599822100989436,600.0,1,False
GAMA_J115603.78+001235.54_N708,--,N708,512,80,S2021A,object,GAMA_J115603.78+001235.54_N708,LeathaudGreene,Merian,179.0157843770501,2020B-0288,0.20987461599790305,600.0,1,False
GAMA_J114848.61-005955.71_N708,--,N708,512,81,S2021A,object,GAMA_J114848.61-005955.71_N708,LeathaudGreene,Merian,177.20257461518705,2020B-0288,-0.9988085729774404,600.0,1,False
GAMA_J114958.62-010456.15_N708,--,N708,512,82,S2021A,object,GAMA_J114958.62-010456.15_N708,LeathaudGreene,Merian,177.49425270627637,2020B-0288,-1.0822644395783314,600.0,1,False
GAMA_J115109.28-010756.84_N708,--,N708,512,83,S2021A,object,GAMA_J115109.28-010756.84_N708,LeathaudGreene,Merian,177.78866786136112,2020B-0288,-1.1324562563479983,600.0,1,False
GAMA_J115219.94-011057.49_N708,--,N708,512,84,S2021A,object,GAMA_J115219.94-011057.49_N708,LeathaudGreene,Merian,178.08309151474137,2020B-0288,-1.1826379992851537,600.0,1,False
GAMA_J115232.18+031042.71_N708,--,N708,512,85,S2021A,object,GAMA_J115232.18+031042.71_N708,LeathaudGreene,Merian,178.134094413877,2020B-0288,3.1785307998830015,600.0,1,False
GAMA_J115342.14+030542.39_N708,--,N708,512,86,S2021A,object,GAMA_J115342.14+030542.39_N708,LeathaudGreene,Merian,178.42559283861976,2020B-0288,3.0951094267309953,600.0,1,False
GAMA_J115452.72+030241.93_N708,--,N708,512,87,S2021A,object,GAMA_J115452.72+030241.93_N708,LeathaudGreene,Merian,178.71969927467438,2020B-0288,3.044983262683421,600.0,1,False
GAMA_J115603.30+025941.55_N708,--,N708,512,88,S2021A,object,GAMA_J115603.30+025941.55_N708,LeathaudGreene,Merian,179.0137774111604,2020B-0288,2.994875505225111,600.0,1,False
GAMA_J114848.94+014728.28_N708,--,N708,512,89,S2021A,object,GAMA_J114848.94+014728.28_N708,LeathaudGreene,Merian,177.20395195290433,2020B-0288,1.7911912662010332,600.0,1,False
GAMA_J114958.93+014227.84_N708,--,N708,512,90,S2021A,object,GAMA_J114958.93+014227.84_N708,LeathaudGreene,Merian,177.4955596744357,2020B-0288,1.7077354334381831,600.0,1,False
GAMA_J115109.55+013927.15_N708,--,N708,512,91,S2021A,object,GAMA_J115109.55+013927.15_N708,LeathaudGreene,Merian,177.78979790400155,2020B-0288,1.6575436939194348,600.0,1,False
GAMA_J115220.16+013626.50_N708,--,N708,512,92,S2021A,object,GAMA_J115220.16+013626.50_N708,LeathaudGreene,Merian,178.08401957716703,2020B-0288,1.6073620254624543,600.0,1,False
GAMA_J114505.52+002356.81_N708,--,N708,512,93,S2021A,object,GAMA_J114505.52+002356.81_N708,LeathaudGreene,Merian,176.27301909741664,2020B-0288,0.3991153520216946,600.0,1,False
GAMA_J114615.52+001856.32_N708,--,N708,512,94,S2021A,object,GAMA_J114615.52+001856.32_N708,LeathaudGreene,Merian,176.56467041177982,2020B-0288,0.31564704959077955,600.0,1,False
GAMA_J114726.16+001555.45_N708,--,N708,512,95,S2021A,object,GAMA_J114726.16+001555.45_N708,LeathaudGreene,Merian,176.8590010792916,2020B-0288,0.2654029140088838,600.0,1,False
GAMA_J114836.79+001254.57_N708,--,N708,512,96,S2021A,object,GAMA_J114836.79+001254.57_N708,LeathaudGreene,Merian,177.15332697788025,2020B-0288,0.21516049724146874,600.0,1,False
GAMA_J114122.15-005948.11_N708,--,N708,512,97,S2021A,object,GAMA_J114122.15-005948.11_N708,LeathaudGreene,Merian,175.34229372925017,2020B-0288,-0.9966982666977066,600.0,1,False
GAMA_J114232.14-010448.56_N708,--,N708,512,98,S2021A,object,GAMA_J114232.14-010448.56_N708,LeathaudGreene,Merian,175.6339226463956,2020B-0288,-1.080157009179365,600.0,1,False
GAMA_J114342.79-010749.58_N708,--,N708,512,99,S2021A,object,GAMA_J114342.79-010749.58_N708,LeathaudGreene,Merian,175.9283061969915,2020B-0288,-1.1304402753562346,600.0,1,False
GAMA_J114453.44-011050.62_N708,--,N708,512,100,S2021A,object,GAMA_J114453.44-011050.62_N708,LeathaudGreene,Merian,176.22269680282716,2020B-0288,-1.1807301788633435,600.0,1,False
GAMA_J114504.84+031142.43_N708,--,N708,512,101,S2021A,object,GAMA_J114504.84+031142.43_N708,LeathaudGreene,Merian,176.27020237508285,2020B-0288,3.1951203560724504,600.0,1,False
GAMA_J114614.84+030641.94_N708,--,N708,512,102,S2021A,object,GAMA_J114614.84+030641.94_N708,LeathaudGreene,Merian,176.5618495466172,2020B-0288,3.111652049342886,600.0,1,False
GAMA_J114725.45+030341.06_N708,--,N708,512,103,S2021A,object,GAMA_J114725.45+030341.06_N708,LeathaudGreene,Merian,176.856042730593,2020B-0288,3.0614077717493453,600.0,1,False
GAMA_J114836.04+030040.19_N708,--,N708,512,104,S2021A,object,GAMA_J114836.04+030040.19_N708,LeathaudGreene,Merian,177.15020602077144,2020B-0288,3.0111651783003377,600.0,1,False
GAMA_J114122.38+014819.09_N708,--,N708,512,105,S2021A,object,GAMA_J114122.38+014819.09_N708,LeathaudGreene,Merian,175.3432671699983,2020B-0288,1.8053031689680905,600.0,1,False
GAMA_J114232.38+014318.63_N708,--,N708,512,106,S2021A,object,GAMA_J114232.38+014318.63_N708,LeathaudGreene,Merian,175.63495798998767,2020B-0288,1.7218444042990313,600.0,1,False
GAMA_J114343.01+014017.62_N708,--,N708,512,107,S2021A,object,GAMA_J114343.01+014017.62_N708,LeathaudGreene,Merian,175.92924365535657,2020B-0288,1.6715611725717625,600.0,1,False
