object.1,object,comment,filter,seqtot,seqnum,seqid,expType,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J022748.63+365709.57_N540,XMM_J022748.63+365709.57_N540,--,N540,104,33,S2021B,object,LeathaudGreene,Merian,36.95265898252008,2020B-0288,-4.0061032803559975,900.0,1,False
XMM_J022857.72+371425.89_N540,XMM_J022857.72+371425.89_N540,--,N540,104,34,S2021B,object,LeathaudGreene,Merian,37.24052612443133,2020B-0288,-3.942860245450525,900.0,1,False
XMM_J023007.79+373156.92_N540,XMM_J023007.79+373156.92_N540,--,N540,104,35,S2021B,object,LeathaudGreene,Merian,37.53247781133335,2020B-0288,-3.906590042245549,900.0,1,False
XMM_J023117.86+374927.91_N540,XMM_J023117.86+374927.91_N540,--,N540,104,36,S2021B,object,LeathaudGreene,Merian,37.824420149830544,2020B-0288,-3.870655059015056,900.0,1,False
XMM_J023120.23+375003.54_N540,XMM_J023120.23+375003.54_N540,--,N540,104,37,S2021B,object,LeathaudGreene,Merian,37.834317188534655,2020B-0288,-5.620550909179621,900.0,1,False
XMM_J023228.93+380713.95_N540,XMM_J023228.93+380713.95_N540,--,N540,104,38,S2021B,object,LeathaudGreene,Merian,38.12054366125532,2020B-0288,-5.558152753146309,900.0,1,False
XMM_J023338.74+382441.22_N540,XMM_J023338.74+382441.22_N540,--,N540,104,39,S2021B,object,LeathaudGreene,Merian,38.41145132116562,2020B-0288,-5.522422271933552,900.0,1,False
XMM_J023448.56+384208.42_N540,XMM_J023448.56+384208.42_N540,--,N540,104,40,S2021B,object,LeathaudGreene,Merian,38.70233930244353,2020B-0288,-5.487032265576731,900.0,1,False
XMM_J021116.07+324901.10_N540,XMM_J021116.07+324901.10_N540,--,N540,104,41,S2021B,object,LeathaudGreene,Merian,32.816974751332246,2020B-0288,0.8404311412134573,900.0,1,False
XMM_J021226.25+330633.78_N540,XMM_J021226.25+330633.78_N540,--,N540,104,42,S2021B,object,LeathaudGreene,Merian,33.10938586491351,2020B-0288,0.9074360245003911,900.0,1,False
XMM_J021337.02+332415.30_N540,XMM_J021337.02+332415.30_N540,--,N540,104,43,S2021B,object,LeathaudGreene,Merian,33.404251406543644,2020B-0288,0.9461241864713088,900.0,1,False
XMM_J021447.79+334156.90_N540,XMM_J021447.79+334156.90_N540,--,N540,104,44,S2021B,object,LeathaudGreene,Merian,33.69914047082063,2020B-0288,0.9845042484429604,900.0,1,False
