,object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
28,GAMA_J141751.61-004928.19_N536,--,N536,512,29,S2021A,object,GAMA_J141751.61-004928.19_N708,Leauthaud,Merian,214.46507169880056,2020B-0288,-0.8244981343288894,900,1,False
29,GAMA_J141901.79-005324.15_N536,--,N536,512,30,S2021A,object,GAMA_J141901.79-005324.15_N708,Leauthaud,Merian,214.7574968623336,2020B-0288,-0.8900437958222347,900,1,False
30,GAMA_J142012.56-005540.04_N536,--,N536,512,31,S2021A,object,GAMA_J142012.56-005540.04_N708,Leauthaud,Merian,215.05236981017362,2020B-0288,-0.9277903850665208,900,1,False
31,GAMA_J142123.34-005754.78_N536,--,N536,512,32,S2021A,object,GAMA_J142123.34-005754.78_N708,Leauthaud,Merian,215.34726618486462,2020B-0288,-0.965217126308212,900,1,False
32,GAMA_J141116.07-005025.55_N536,--,N536,512,33,S2021A,object,GAMA_J141116.07-005025.55_N708,Leauthaud,Merian,212.81697475133225,2020B-0288,-0.8404311412134572,900,1,False
33,GAMA_J141226.25-005426.76_N536,--,N536,512,34,S2021A,object,GAMA_J141226.25-005426.76_N708,Leauthaud,Merian,213.10938586491352,2020B-0288,-0.9074360245003912,900,1,False
34,GAMA_J141337.02-005646.04_N536,--,N536,512,35,S2021A,object,GAMA_J141337.02-005646.04_N708,Leauthaud,Merian,213.40425140654358,2020B-0288,-0.9461241864713088,900,1,False
35,GAMA_J141447.79-005904.21_N536,--,N536,512,36,S2021A,object,GAMA_J141447.79-005904.21_N708,Leauthaud,Merian,213.69914047082062,2020B-0288,-0.9845042484429604,900,1,False
36,GAMA_J140437.64-005120.79_N536,--,N536,512,37,S2021A,object,GAMA_J140437.64-005120.79_N708,Leauthaud,Merian,211.15686380377042,2020B-0288,-0.8557772835558601,900,1,False
37,GAMA_J140547.82-005527.10_N536,--,N536,512,38,S2021A,object,GAMA_J140547.82-005527.10_N708,Leauthaud,Merian,211.4492583864221,2020B-0288,-0.924195979171048,900,1,False
38,GAMA_J140658.58-005749.68_N536,--,N536,512,39,S2021A,object,GAMA_J140658.58-005749.68_N708,Leauthaud,Merian,211.74411491065635,2020B-0288,-0.9638002171475296,900,1,False
39,GAMA_J140809.35-010011.19_N536,--,N536,512,40,S2021A,object,GAMA_J140809.35-010011.19_N708,Leauthaud,Merian,212.0389949753259,2020B-0288,-1.0031084470623015,900,1,False
40,GAMA_J135756.09-005213.86_N536,--,N536,512,41,S2021A,object,GAMA_J135756.09-005213.86_N708,Leauthaud,Merian,209.48373886473385,2020B-0288,-0.8705168266688436,900,1,False
41,GAMA_J135906.26-005625.08_N536,--,N536,512,42,S2021A,object,GAMA_J135906.26-005625.08_N708,Leauthaud,Merian,209.7761144277132,2020B-0288,-0.9403023034292054,900,1,False
42,GAMA_J140017.03-005850.86_N536,--,N536,512,43,S2021A,object,GAMA_J140017.03-005850.86_N708,Leauthaud,Merian,210.07096031323184,2020B-0288,-0.9807961595222487,900,1,False
43,GAMA_J140127.79-010115.62_N536,--,N536,512,44,S2021A,object,GAMA_J140127.79-010115.62_N708,Leauthaud,Merian,210.3658296771267,2020B-0288,-1.0210064461797927,900,1,False
44,GAMA_J134745.66+003930.78_N536,--,N536,512,45,S2021A,object,GAMA_J134745.66+003930.78_N708,Leauthaud,Merian,206.94026542789933,2020B-0288,0.6585505331495699,900,1,False
45,GAMA_J134855.54+003512.48_N536,--,N536,512,46,S2021A,object,GAMA_J134855.54+003512.48_N708,Leauthaud,Merian,207.23145377520714,2020B-0288,0.5868012124263673,900,1,False
46,GAMA_J135006.12+003242.07_N536,--,N536,512,47,S2021A,object,GAMA_J135006.12+003242.07_N708,Leauthaud,Merian,207.5255216704686,2020B-0288,0.5450205977842162,900,1,False
47,GAMA_J135116.70+003012.61_N536,--,N536,512,48,S2021A,object,GAMA_J135116.70+003012.61_N708,Leauthaud,Merian,207.81960083547008,2020B-0288,0.5035037909796439,900,1,False
48,GAMA_J135111.18-005304.66_N536,--,N536,512,49,S2021A,object,GAMA_J135111.18-005304.66_N708,Leauthaud,Merian,207.7965999720645,2020B-0288,-0.8846281828680199,900,1,False
49,GAMA_J135221.34-005720.63_N536,--,N536,512,50,S2021A,object,GAMA_J135221.34-005720.63_N708,Leauthaud,Merian,208.08895402357663,2020B-0288,-0.9557316322108828,900,1,False
50,GAMA_J135332.10-005949.51_N536,--,N536,512,51,S2021A,object,GAMA_J135332.10-005949.51_N708,Leauthaud,Merian,208.38378764173004,2020B-0288,-0.9970875933558754,900,1,False
51,GAMA_J135442.87-010217.42_N536,--,N536,512,52,S2021A,object,GAMA_J135442.87-010217.42_N708,Leauthaud,Merian,208.67864459458082,2020B-0288,-1.0381727730739676,900,1,False
52,GAMA_J134055.90+003800.39_N536,--,N536,512,53,S2021A,object,GAMA_J134055.90+003800.39_N708,Leauthaud,Merian,205.23291949828524,2020B-0288,0.6334436165766733,900,1,False
53,GAMA_J134205.79+003337.63_N536,--,N536,512,54,S2021A,object,GAMA_J134205.79+003337.63_N708,Leauthaud,Merian,205.52414946813587,2020B-0288,0.5604554405089878,900,1,False
54,GAMA_J134316.37+003104.28_N536,--,N536,512,55,S2021A,object,GAMA_J134316.37+003104.28_N708,Leauthaud,Merian,205.81824229355468,2020B-0288,0.5178576737992883,900,1,False
55,GAMA_J134426.96+002831.83_N536,--,N536,512,56,S2021A,object,GAMA_J134426.96+002831.83_N708,Leauthaud,Merian,206.11234600576242,2020B-0288,0.4755104542244834,900,1,False
56,GAMA_J134423.14-005353.06_N536,--,N536,512,57,S2021A,object,GAMA_J134423.14-005353.06_N708,Leauthaud,Merian,206.0964473840572,2020B-0288,-0.898072496537179,900,1,False
57,GAMA_J134533.30-005813.59_N536,--,N536,512,58,S2021A,object,GAMA_J134533.30-005813.59_N708,Leauthaud,Merian,206.3887774642549,2020B-0288,-0.970441719130864,900,1,False
58,GAMA_J134644.06-010045.46_N536,--,N536,512,59,S2021A,object,GAMA_J134644.06-010045.46_N708,Leauthaud,Merian,206.68359719955933,2020B-0288,-1.0126301615008693,900,1,False
59,GAMA_J134754.82-010316.41_N536,--,N536,512,60,S2021A,object,GAMA_J134754.82-010316.41_N708,Leauthaud,Merian,206.97844004289212,2020B-0288,-1.0545609468215082,900,1,False
60,GAMA_J133731.50-005439.00_N536,--,N536,512,61,S2021A,object,GAMA_J133731.50-005439.00_N708,Leauthaud,Merian,204.3812811525879,2020B-0288,-0.9108343353392784,900,1,False
61,GAMA_J133841.66-005903.89_N536,--,N536,512,62,S2021A,object,GAMA_J133841.66-005903.89_N708,Leauthaud,Merian,204.67358480205002,2020B-0288,-0.9844159425094774,900,1,False
62,GAMA_J133952.41-010138.66_N536,--,N536,512,63,S2021A,object,GAMA_J133952.41-010138.66_N708,Leauthaud,Merian,204.96838903449054,2020B-0288,-1.0274065776681172,900,1,False
63,GAMA_J134103.17-010412.55_N536,--,N536,512,64,S2021A,object,GAMA_J134103.17-010412.55_N708,Leauthaud,Merian,205.26321606380745,2020B-0288,-1.0701530260136232,900,1,False
64,GAMA_J133036.02-005522.39_N536,--,N536,512,65,S2021A,object,GAMA_J133036.02-005522.39_N708,Leauthaud,Merian,202.65010144997527,2020B-0288,-0.922887719579268,900,1,False
65,GAMA_J133146.17-005951.45_N536,--,N536,512,66,S2021A,object,GAMA_J133146.17-005951.45_N708,Leauthaud,Merian,202.9423762286969,2020B-0288,-0.9976261676046966,900,1,False
66,GAMA_J133256.91-010228.99_N536,--,N536,512,67,S2021A,object,GAMA_J133256.91-010228.99_N708,Leauthaud,Merian,203.2371633447676,2020B-0288,-1.0413874195233974,900,1,False
67,GAMA_J133407.67-010505.70_N536,--,N536,512,68,S2021A,object,GAMA_J133407.67-010505.70_N708,Leauthaud,Merian,203.53197286077858,2020B-0288,-1.0849183024588072,900,1,False
68,GAMA_J115616.04-005959.52_N536,--,N536,512,69,S2021A,object,GAMA_J115616.04-005959.52_N708,Leauthaud,Merian,179.06685790306338,2020B-0288,-0.9998674064120842,900,1,False
69,GAMA_J115726.06-010459.63_N536,--,N536,512,70,S2021A,object,GAMA_J115726.06-010459.63_N708,Leauthaud,Merian,179.35858536641456,2020B-0288,-1.0832321354179888,900,1,False
70,GAMA_J115836.72-010759.80_N536,--,N536,512,71,S2021A,object,GAMA_J115836.72-010759.80_N708,Leauthaud,Merian,179.65303212981965,2020B-0288,-1.1332792253582713,900,1,False
71,GAMA_J115947.39-011059.87_N536,--,N536,512,72,S2021A,object,GAMA_J115947.39-011059.87_N708,Leauthaud,Merian,179.9474888017356,2020B-0288,-1.1832995031790141,900,1,False
72,GAMA_J115616.23+014659.27_N536,--,N536,512,73,S2021A,object,GAMA_J115616.23+014659.27_N708,Leauthaud,Merian,179.06764897147445,2020B-0288,1.7831324811845823,900,1,False
73,GAMA_J115726.20+014159.16_N536,--,N536,512,74,S2021A,object,GAMA_J115726.20+014159.16_N708,Leauthaud,Merian,179.35917440121986,2020B-0288,1.6997678022601033,900,1,False
74,GAMA_J115836.80+013858.99_N536,--,N536,512,75,S2021A,object,GAMA_J115836.80+013858.99_N708,Leauthaud,Merian,179.65336546440847,2020B-0288,1.649720754683439,900,1,False
75,GAMA_J115947.41+013558.92_N536,--,N536,512,76,S2021A,object,GAMA_J115947.41+013558.92_N708,Leauthaud,Merian,179.947541474039,2020B-0288,1.5997004963226404,900,1,False
76,GAMA_J115232.52+002336.70_N536,--,N536,512,77,S2021A,object,GAMA_J115232.52+002336.70_N708,Leauthaud,Merian,178.13550736936455,2020B-0288,0.3935295462289744,900,1,False
77,GAMA_J115342.51+001836.38_N536,--,N536,512,78,S2021A,object,GAMA_J115342.51+001836.38_N708,Leauthaud,Merian,178.42714203495797,2020B-0288,0.3101082454839691,900,1,False
78,GAMA_J115453.15+001535.93_N536,--,N536,512,79,S2021A,object,GAMA_J115453.15+001535.93_N708,Leauthaud,Merian,178.72146485531064,2020B-0288,0.2599822100989436,900,1,False
79,GAMA_J115603.78+001235.54_N536,--,N536,512,80,S2021A,object,GAMA_J115603.78+001235.54_N708,Leauthaud,Merian,179.0157843770501,2020B-0288,0.20987461599790305,900,1,False
80,GAMA_J114848.61-005955.71_N536,--,N536,512,81,S2021A,object,GAMA_J114848.61-005955.71_N708,Leauthaud,Merian,177.20257461518705,2020B-0288,-0.9988085729774404,900,1,False
81,GAMA_J114958.62-010456.15_N536,--,N536,512,82,S2021A,object,GAMA_J114958.62-010456.15_N708,Leauthaud,Merian,177.49425270627637,2020B-0288,-1.0822644395783314,900,1,False
82,GAMA_J115109.28-010756.84_N536,--,N536,512,83,S2021A,object,GAMA_J115109.28-010756.84_N708,Leauthaud,Merian,177.78866786136112,2020B-0288,-1.1324562563479983,900,1,False
83,GAMA_J115219.94-011057.49_N536,--,N536,512,84,S2021A,object,GAMA_J115219.94-011057.49_N708,Leauthaud,Merian,178.08309151474137,2020B-0288,-1.1826379992851537,900,1,False
84,GAMA_J115232.18+031042.71_N536,--,N536,512,85,S2021A,object,GAMA_J115232.18+031042.71_N708,Leauthaud,Merian,178.134094413877,2020B-0288,3.178530799883001,900,1,False
85,GAMA_J115342.14+030542.39_N536,--,N536,512,86,S2021A,object,GAMA_J115342.14+030542.39_N708,Leauthaud,Merian,178.42559283861976,2020B-0288,3.0951094267309958,900,1,False
86,GAMA_J115452.72+030241.93_N536,--,N536,512,87,S2021A,object,GAMA_J115452.72+030241.93_N708,Leauthaud,Merian,178.71969927467438,2020B-0288,3.0449832626834215,900,1,False
87,GAMA_J115603.30+025941.55_N536,--,N536,512,88,S2021A,object,GAMA_J115603.30+025941.55_N708,Leauthaud,Merian,179.0137774111604,2020B-0288,2.994875505225111,900,1,False
88,GAMA_J114848.94+014728.28_N536,--,N536,512,89,S2021A,object,GAMA_J114848.94+014728.28_N708,Leauthaud,Merian,177.20395195290433,2020B-0288,1.7911912662010332,900,1,False
89,GAMA_J114958.93+014227.84_N536,--,N536,512,90,S2021A,object,GAMA_J114958.93+014227.84_N708,Leauthaud,Merian,177.4955596744357,2020B-0288,1.7077354334381831,900,1,False
90,GAMA_J115109.55+013927.15_N536,--,N536,512,91,S2021A,object,GAMA_J115109.55+013927.15_N708,Leauthaud,Merian,177.78979790400157,2020B-0288,1.6575436939194348,900,1,False
91,GAMA_J115220.16+013626.50_N536,--,N536,512,92,S2021A,object,GAMA_J115220.16+013626.50_N708,Leauthaud,Merian,178.08401957716703,2020B-0288,1.6073620254624543,900,1,False
92,GAMA_J114505.52+002356.81_N536,--,N536,512,93,S2021A,object,GAMA_J114505.52+002356.81_N708,Leauthaud,Merian,176.2730190974166,2020B-0288,0.3991153520216946,900,1,False
93,GAMA_J114615.52+001856.32_N536,--,N536,512,94,S2021A,object,GAMA_J114615.52+001856.32_N708,Leauthaud,Merian,176.56467041177982,2020B-0288,0.31564704959077955,900,1,False
94,GAMA_J114726.16+001555.45_N536,--,N536,512,95,S2021A,object,GAMA_J114726.16+001555.45_N708,Leauthaud,Merian,176.8590010792916,2020B-0288,0.2654029140088838,900,1,False
95,GAMA_J114836.79+001254.57_N536,--,N536,512,96,S2021A,object,GAMA_J114836.79+001254.57_N708,Leauthaud,Merian,177.15332697788025,2020B-0288,0.21516049724146874,900,1,False
96,GAMA_J114122.15-005948.11_N536,--,N536,512,97,S2021A,object,GAMA_J114122.15-005948.11_N708,Leauthaud,Merian,175.34229372925014,2020B-0288,-0.9966982666977066,900,1,False
97,GAMA_J114232.14-010448.56_N536,--,N536,512,98,S2021A,object,GAMA_J114232.14-010448.56_N708,Leauthaud,Merian,175.6339226463956,2020B-0288,-1.080157009179365,900,1,False
98,GAMA_J114342.79-010749.58_N536,--,N536,512,99,S2021A,object,GAMA_J114342.79-010749.58_N708,Leauthaud,Merian,175.9283061969915,2020B-0288,-1.1304402753562346,900,1,False
99,GAMA_J114453.44-011050.62_N536,--,N536,512,100,S2021A,object,GAMA_J114453.44-011050.62_N708,Leauthaud,Merian,176.22269680282716,2020B-0288,-1.1807301788633435,900,1,False
100,GAMA_J114504.84+031142.43_N536,--,N536,512,101,S2021A,object,GAMA_J114504.84+031142.43_N708,Leauthaud,Merian,176.27020237508285,2020B-0288,3.1951203560724504,900,1,False
101,GAMA_J114614.84+030641.94_N536,--,N536,512,102,S2021A,object,GAMA_J114614.84+030641.94_N708,Leauthaud,Merian,176.5618495466172,2020B-0288,3.111652049342886,900,1,False
102,GAMA_J114725.45+030341.06_N536,--,N536,512,103,S2021A,object,GAMA_J114725.45+030341.06_N708,Leauthaud,Merian,176.856042730593,2020B-0288,3.0614077717493453,900,1,False
103,GAMA_J114836.04+030040.19_N536,--,N536,512,104,S2021A,object,GAMA_J114836.04+030040.19_N708,Leauthaud,Merian,177.15020602077144,2020B-0288,3.0111651783003377,900,1,False
104,GAMA_J114122.38+014819.09_N536,--,N536,512,105,S2021A,object,GAMA_J114122.38+014819.09_N708,Leauthaud,Merian,175.3432671699983,2020B-0288,1.8053031689680905,900,1,False
105,GAMA_J114232.38+014318.63_N536,--,N536,512,106,S2021A,object,GAMA_J114232.38+014318.63_N708,Leauthaud,Merian,175.63495798998767,2020B-0288,1.7218444042990313,900,1,False
106,GAMA_J114343.01+014017.62_N536,--,N536,512,107,S2021A,object,GAMA_J114343.01+014017.62_N708,Leauthaud,Merian,175.92924365535657,2020B-0288,1.6715611725717625,900,1,False
107,GAMA_J114453.64+013716.57_N536,--,N536,512,108,S2021A,object,GAMA_J114453.64+013716.57_N708,Leauthaud,Merian,176.22351120931626,2020B-0288,1.6212713075224296,900,1,False
108,GAMA_J113739.96+002435.08_N536,--,N536,512,109,S2021A,object,GAMA_J113739.96+002435.08_N708,Leauthaud,Merian,174.41654121517757,2020B-0288,0.4097455388053543,900,1,False
