object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J023055.25+374348.80_N53,--,N53,104,1,S2021B,object,XMM_J023055.25+374348.80_N53,LeathaudGreene,Merian,37.73022371949276,2020B-0288,37.73022371949276,900.0,1,False
XMM_J023205.44+380121.61_N53,--,N53,104,2,S2021B,object,XMM_J023205.44+380121.61_N53,LeathaudGreene,Merian,38.02266959544956,2020B-0288,38.02266959544956,900.0,1,False
XMM_J023316.21+381903.18_N53,--,N53,104,3,S2021B,object,XMM_J023316.21+381903.18_N53,LeathaudGreene,Merian,38.31755257630014,2020B-0288,38.31755257630014,900.0,1,False
XMM_J023426.99+383644.85_N53,--,N53,104,4,S2021B,object,XMM_J023426.99+383644.85_N53,LeathaudGreene,Merian,38.61245856581797,2020B-0288,38.61245856581797,900.0,1,False
XMM_J022424.75+360611.35_N53,--,N53,104,5,S2021B,object,XMM_J022424.75+360611.35_N53,LeathaudGreene,Merian,36.10315470929567,2020B-0288,36.10315470929567,900.0,1,False
XMM_J022534.94+362344.12_N53,--,N53,104,6,S2021B,object,XMM_J022534.94+362344.12_N53,LeathaudGreene,Merian,36.395591459936846,2020B-0288,36.395591459936846,900.0,1,False
XMM_J022645.71+364125.69_N53,--,N53,104,7,S2021B,object,XMM_J022645.71+364125.69_N53,LeathaudGreene,Merian,36.69047021838124,2020B-0288,36.69047021838124,900.0,1,False
XMM_J022756.48+365907.34_N53,--,N53,104,8,S2021B,object,XMM_J022756.48+365907.34_N53,LeathaudGreene,Merian,36.98537223163668,2020B-0288,36.98537223163668,900.0,1,False
XMM_J022738.00+365430.14_N53,--,N53,104,9,S2021B,object,XMM_J022738.00+365430.14_N53,LeathaudGreene,Merian,36.908374002803995,2020B-0288,36.908374002803995,900.0,1,False
XMM_J022847.83+371157.45_N53,--,N53,104,10,S2021B,object,XMM_J022847.83+371157.45_N53,LeathaudGreene,Merian,37.1992917242714,2020B-0288,37.1992917242714,900.0,1,False
XMM_J022958.36+372935.50_N53,--,N53,104,11,S2021B,object,XMM_J022958.36+372935.50_N53,LeathaudGreene,Merian,37.493196766200235,2020B-0288,37.493196766200235,900.0,1,False
XMM_J023108.90+374713.61_N53,--,N53,104,12,S2021B,object,XMM_J023108.90+374713.61_N53,LeathaudGreene,Merian,37.78711404401108,2020B-0288,37.78711404401108,900.0,1,False
XMM_J023055.41+374351.17_N53,--,N53,104,13,S2021B,object,XMM_J023055.41+374351.17_N53,LeathaudGreene,Merian,37.73088145097615,2020B-0288,37.73088145097615,900.0,1,False
XMM_J023204.85+380112.80_N53,--,N53,104,14,S2021B,object,XMM_J023204.85+380112.80_N53,LeathaudGreene,Merian,38.02022407418215,2020B-0288,38.02022407418215,900.0,1,False
XMM_J023315.14+381847.24_N53,--,N53,104,15,S2021B,object,XMM_J023315.14+381847.24_N53,LeathaudGreene,Merian,38.31312296849176,2020B-0288,38.31312296849176,900.0,1,False
XMM_J023425.44+383621.68_N53,--,N53,104,16,S2021B,object,XMM_J023425.44+383621.68_N53,LeathaudGreene,Merian,38.60602336645765,2020B-0288,38.60602336645765,900.0,1,False
XMM_J023420.07+383501.11_N53,--,N53,104,17,S2021B,object,XMM_J023420.07+383501.11_N53,LeathaudGreene,Merian,38.583642970873186,2020B-0288,38.583642970873186,900.0,1,False
XMM_J023529.12+385216.86_N53,--,N53,104,18,S2021B,object,XMM_J023529.12+385216.86_N53,LeathaudGreene,Merian,38.87135181953675,2020B-0288,38.87135181953675,900.0,1,False
XMM_J023639.17+390947.55_N53,--,N53,104,19,S2021B,object,XMM_J023639.17+390947.55_N53,LeathaudGreene,Merian,39.163210659156306,2020B-0288,39.163210659156306,900.0,1,False
XMM_J023749.21+392718.21_N53,--,N53,104,20,S2021B,object,XMM_J023749.21+392718.21_N53,LeathaudGreene,Merian,39.45506057337439,2020B-0288,39.45506057337439,900.0,1,False
XMM_J021751.61+342754.25_N53,--,N53,104,21,S2021B,object,XMM_J021751.61+342754.25_N53,LeathaudGreene,Merian,34.465071698800585,2020B-0288,34.465071698800585,900.0,1,False
XMM_J021901.79+344526.98_N53,--,N53,104,22,S2021B,object,XMM_J021901.79+344526.98_N53,LeathaudGreene,Merian,34.75749686233354,2020B-0288,34.75749686233354,900.0,1,False
XMM_J022012.56+350308.53_N53,--,N53,104,23,S2021B,object,XMM_J022012.56+350308.53_N53,LeathaudGreene,Merian,35.05236981017359,2020B-0288,35.05236981017359,900.0,1,False
XMM_J022123.34+352050.15_N53,--,N53,104,24,S2021B,object,XMM_J022123.34+352050.15_N53,LeathaudGreene,Merian,35.34726618486464,2020B-0288,35.34726618486464,900.0,1,False
XMM_J022106.24+351633.64_N53,--,N53,104,25,S2021B,object,XMM_J022106.24+351633.64_N53,LeathaudGreene,Merian,35.276013256690064,2020B-0288,35.276013256690064,900.0,1,False
XMM_J022216.07+353401.12_N53,--,N53,104,26,S2021B,object,XMM_J022216.07+353401.12_N53,LeathaudGreene,Merian,35.566978135137894,2020B-0288,35.566978135137894,900.0,1,False
XMM_J022326.61+355139.28_N53,--,N53,104,27,S2021B,object,XMM_J022326.61+355139.28_N53,LeathaudGreene,Merian,35.860911630776855,2020B-0288,35.860911630776855,900.0,1,False
XMM_J022437.16+360917.48_N53,--,N53,104,28,S2021B,object,XMM_J022437.16+360917.48_N53,LeathaudGreene,Merian,36.15485735501837,2020B-0288,36.15485735501837,900.0,1,False
XMM_J022424.29+360604.40_N53,--,N53,104,29,S2021B,object,XMM_J022424.29+360604.40_N53,LeathaudGreene,Merian,36.101222709565086,2020B-0288,36.101222709565086,900.0,1,False
XMM_J022533.76+362326.40_N53,--,N53,104,30,S2021B,object,XMM_J022533.76+362326.40_N53,LeathaudGreene,Merian,36.39066933641994,2020B-0288,36.39066933641994,900.0,1,False
XMM_J022644.07+364101.06_N53,--,N53,104,31,S2021B,object,XMM_J022644.07+364101.06_N53,LeathaudGreene,Merian,36.6836297178324,2020B-0288,36.6836297178324,900.0,1,False
XMM_J022754.38+365835.72_N53,--,N53,104,32,S2021B,object,XMM_J022754.38+365835.72_N53,LeathaudGreene,Merian,36.976591399743576,2020B-0288,36.976591399743576,900.0,1,False
XMM_J022748.63+365709.57_N53,--,N53,104,33,S2021B,object,XMM_J022748.63+365709.57_N53,LeathaudGreene,Merian,36.95265898252008,2020B-0288,36.95265898252008,900.0,1,False
XMM_J022857.72+371425.89_N53,--,N53,104,34,S2021B,object,XMM_J022857.72+371425.89_N53,LeathaudGreene,Merian,37.240526124431334,2020B-0288,37.240526124431334,900.0,1,False
XMM_J023007.79+373156.92_N53,--,N53,104,35,S2021B,object,XMM_J023007.79+373156.92_N53,LeathaudGreene,Merian,37.53247781133335,2020B-0288,37.53247781133335,900.0,1,False
XMM_J023117.86+374927.91_N53,--,N53,104,36,S2021B,object,XMM_J023117.86+374927.91_N53,LeathaudGreene,Merian,37.82442014983055,2020B-0288,37.82442014983055,900.0,1,False
XMM_J023120.23+375003.54_N53,--,N53,104,37,S2021B,object,XMM_J023120.23+375003.54_N53,LeathaudGreene,Merian,37.83431718853466,2020B-0288,37.83431718853466,900.0,1,False
XMM_J023228.93+380713.95_N53,--,N53,104,38,S2021B,object,XMM_J023228.93+380713.95_N53,LeathaudGreene,Merian,38.12054366125532,2020B-0288,38.12054366125532,900.0,1,False
XMM_J023338.74+382441.22_N53,--,N53,104,39,S2021B,object,XMM_J023338.74+382441.22_N53,LeathaudGreene,Merian,38.411451321165615,2020B-0288,38.411451321165615,900.0,1,False
XMM_J023448.56+384208.42_N53,--,N53,104,40,S2021B,object,XMM_J023448.56+384208.42_N53,LeathaudGreene,Merian,38.70233930244352,2020B-0288,38.70233930244352,900.0,1,False
XMM_J021116.07+324901.10_N53,--,N53,104,41,S2021B,object,XMM_J021116.07+324901.10_N53,LeathaudGreene,Merian,32.81697475133225,2020B-0288,32.81697475133225,900.0,1,False
XMM_J021226.25+330633.78_N53,--,N53,104,42,S2021B,object,XMM_J021226.25+330633.78_N53,LeathaudGreene,Merian,33.10938586491351,2020B-0288,33.10938586491351,900.0,1,False
XMM_J021337.02+332415.30_N53,--,N53,104,43,S2021B,object,XMM_J021337.02+332415.30_N53,LeathaudGreene,Merian,33.40425140654364,2020B-0288,33.40425140654364,900.0,1,False
XMM_J021447.79+334156.90_N53,--,N53,104,44,S2021B,object,XMM_J021447.79+334156.90_N53,LeathaudGreene,Merian,33.69914047082063,2020B-0288,33.69914047082063,900.0,1,False
XMM_J021432.07+333801.17_N53,--,N53,104,45,S2021B,object,XMM_J021432.07+333801.17_N53,LeathaudGreene,Merian,33.63365964762176,2020B-0288,33.63365964762176,900.0,1,False
XMM_J021541.92+335528.81_N53,--,N53,104,46,S2021B,object,XMM_J021541.92+335528.81_N53,LeathaudGreene,Merian,33.92467116882605,2020B-0288,33.92467116882605,900.0,1,False
XMM_J021652.47+341307.07_N53,--,N53,104,47,S2021B,object,XMM_J021652.47+341307.07_N53,LeathaudGreene,Merian,34.21863278952544,2020B-0288,34.21863278952544,900.0,1,False
XMM_J021803.02+343045.38_N53,--,N53,104,48,S2021B,object,XMM_J021803.02+343045.38_N53,LeathaudGreene,Merian,34.51260657325796,2020B-0288,34.51260657325796,900.0,1,False
XMM_J021751.02+342745.29_N53,--,N53,104,49,S2021B,object,XMM_J021751.02+342745.29_N53,LeathaudGreene,Merian,34.46258330010559,2020B-0288,34.46258330010559,900.0,1,False
XMM_J021900.51+344507.68_N53,--,N53,104,50,S2021B,object,XMM_J021900.51+344507.68_N53,LeathaudGreene,Merian,34.752134537945025,2020B-0288,34.752134537945025,900.0,1,False
XMM_J022010.83+350242.56_N53,--,N53,104,51,S2021B,object,XMM_J022010.83+350242.56_N53,LeathaudGreene,Merian,35.045156805590466,2020B-0288,35.045156805590466,900.0,1,False
