object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
VVDS_J231527.88+010939.72_N70,--,N70,128,32,S2021B,object,VVDS_J231527.88+010939.72_N70,LeathaudGreene,Merian,348.8661849626714,2020B-0288,1.1610351112337165,600.0,1,False
VVDS_J230442.71+005815.77_N70,--,N70,128,33,S2021B,object,VVDS_J230442.71+005815.77_N70,LeathaudGreene,Merian,346.177975551301,2020B-0288,0.9710481434906579,600.0,1,False
VVDS_J230552.64+010311.66_N70,--,N70,128,34,S2021B,object,VVDS_J230552.64+010311.66_N70,LeathaudGreene,Merian,346.4693704982285,2020B-0288,1.0532398617674466,600.0,1,False
VVDS_J230703.26+010611.51_N70,--,N70,128,35,S2021B,object,VVDS_J230703.26+010611.51_N70,LeathaudGreene,Merian,346.763601892842,2020B-0288,1.1031998895163075,600.0,1,False
VVDS_J230813.87+010911.69_N70,--,N70,128,36,S2021B,object,VVDS_J230813.87+010911.69_N70,LeathaudGreene,Merian,347.0578329197021,2020B-0288,1.1532484142613197,600.0,1,False
VVDS_J225732.09+005747.13_N70,--,N70,128,37,S2021B,object,VVDS_J225732.09+005747.13_N70,LeathaudGreene,Merian,344.38373759493794,2020B-0288,0.9630932858938323,600.0,1,False
VVDS_J225842.02+010241.24_N70,--,N70,128,38,S2021B,object,VVDS_J225842.02+010241.24_N70,LeathaudGreene,Merian,344.6750896521976,2020B-0288,1.0447893683771572,600.0,1,False
VVDS_J225952.63+010540.32_N70,--,N70,128,39,S2021B,object,VVDS_J225952.63+010540.32_N70,LeathaudGreene,Merian,344.9692927957828,2020B-0288,1.0945359790105342,600.0,1,False
VVDS_J230103.23+010839.79_N70,--,N70,128,40,S2021B,object,VVDS_J230103.23+010839.79_N70,LeathaudGreene,Merian,345.26349409870755,2020B-0288,1.1443869090252763,600.0,1,False
VVDS_J225356.22+022633.96_N70,--,N70,128,41,S2021B,object,VVDS_J225356.22+022633.96_N70,LeathaudGreene,Merian,343.48425720522437,2020B-0288,2.4427677972419537,600.0,1,False
VVDS_J225506.02+023127.06_N70,--,N70,128,42,S2021B,object,VVDS_J225506.02+023127.06_N70,LeathaudGreene,Merian,343.7751114804768,2020B-0288,2.5241851525697028,600.0,1,False
VVDS_J225616.58+023425.70_N70,--,N70,128,43,S2021B,object,VVDS_J225616.58+023425.70_N70,LeathaudGreene,Merian,344.0690835729998,2020B-0288,2.5738063153773476,600.0,1,False
VVDS_J225727.13+023724.74_N70,--,N70,128,44,S2021B,object,VVDS_J225727.13+023724.74_N70,LeathaudGreene,Merian,344.36306608652365,2020B-0288,2.6235396676704004,600.0,1,False
VVDS_J225025.32+005715.39_N70,--,N70,128,45,S2021B,object,VVDS_J225025.32+005715.39_N70,LeathaudGreene,Merian,342.60551051083604,2020B-0288,0.9542777440458508,600.0,1,False
VVDS_J225135.23+010207.45_N70,--,N70,128,46,S2021B,object,VVDS_J225135.23+010207.45_N70,LeathaudGreene,Merian,342.89682140692236,2020B-0288,1.035403570530852,600.0,1,False
VVDS_J225245.83+010505.60_N70,--,N70,128,47,S2021B,object,VVDS_J225245.83+010505.60_N70,LeathaudGreene,Merian,343.19099731298894,2020B-0288,1.084890535854643,600.0,1,False
VVDS_J225356.44+010804.19_N70,--,N70,128,48,S2021B,object,VVDS_J225356.44+010804.19_N70,LeathaudGreene,Merian,343.4851699257788,2020B-0288,1.1344973994074183,600.0,1,False
VVDS_J223613.72+035732.43_N70,--,N70,128,49,S2021B,object,VVDS_J223613.72+035732.43_N70,LeathaudGreene,Merian,339.0571986474645,2020B-0288,3.9590087508631906,600.0,1,False
VVDS_J223723.31+040219.54_N70,--,N70,128,50,S2021B,object,VVDS_J223723.31+040219.54_N70,LeathaudGreene,Merian,339.3471293994332,2020B-0288,4.0387634958830025,600.0,1,False
VVDS_J223833.74+040515.32_N70,--,N70,128,51,S2021B,object,VVDS_J223833.74+040515.32_N70,LeathaudGreene,Merian,339.640609019101,2020B-0288,4.087589854870641,600.0,1,False
VVDS_J223944.18+040811.64_N70,--,N70,128,52,S2021B,object,VVDS_J223944.18+040811.64_N70,LeathaudGreene,Merian,339.9341084287865,2020B-0288,4.13656671963028,600.0,1,False
VVDS_J224315.12+035705.43_N70,--,N70,128,53,S2021B,object,VVDS_J224315.12+035705.43_N70,LeathaudGreene,Merian,340.8130277236208,2020B-0288,3.951510990587624,600.0,1,False
VVDS_J224424.75+040155.13_N70,--,N70,128,54,S2021B,object,VVDS_J224424.75+040155.13_N70,LeathaudGreene,Merian,341.10313290007764,2020B-0288,4.031982685567678,600.0,1,False
VVDS_J224535.21+040452.17_N70,--,N70,128,55,S2021B,object,VVDS_J224535.21+040452.17_N70,LeathaudGreene,Merian,341.3967204492201,2020B-0288,4.081159414482969,600.0,1,False
VVDS_J224645.67+040749.69_N70,--,N70,128,56,S2021B,object,VVDS_J224645.67+040749.69_N70,LeathaudGreene,Merian,341.69032928000934,2020B-0288,4.1304715420586335,600.0,1,False
VVDS_J225019.41+035610.28_N70,--,N70,128,57,S2021B,object,VVDS_J225019.41+035610.28_N70,LeathaudGreene,Merian,342.5809135945365,2020B-0288,3.9361900762399373,600.0,1,False
VVDS_J225129.08+040102.30_N70,--,N70,128,58,S2021B,object,VVDS_J225129.08+040102.30_N70,LeathaudGreene,Merian,342.87119793097344,2020B-0288,4.017307289429111,600.0,1,False
VVDS_J225239.57+040400.44_N70,--,N70,128,59,S2021B,object,VVDS_J225239.57+040400.44_N70,LeathaudGreene,Merian,343.1648957809979,2020B-0288,4.066790126271205,600.0,1,False
VVDS_J225350.06+040659.01_N70,--,N70,128,60,S2021B,object,VVDS_J225350.06+040659.01_N70,LeathaudGreene,Merian,343.45861634527546,2020B-0288,4.116393016878968,600.0,1,False
