object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J022748.63-040021.97_N708,--,N708,104,33,S2021B,object,XMM_J022748.63-040021.97_N708,LeathaudGreene,Merian,36.95265898252008,2020B-0288,-4.006103280355997,600.0,1,False
XMM_J022857.72-035634.29_N708,--,N708,104,34,S2021B,object,XMM_J022857.72-035634.29_N708,LeathaudGreene,Merian,37.240526124431334,2020B-0288,-3.9428602454505244,600.0,1,False
XMM_J023007.79-035423.72_N708,--,N708,104,35,S2021B,object,XMM_J023007.79-035423.72_N708,LeathaudGreene,Merian,37.53247781133335,2020B-0288,-3.9065900422455493,600.0,1,False
XMM_J023117.86-035214.35_N708,--,N708,104,36,S2021B,object,XMM_J023117.86-035214.35_N708,LeathaudGreene,Merian,37.82442014983055,2020B-0288,-3.8706550590150557,600.0,1,False
XMM_J023120.23-053713.98_N708,--,N708,104,37,S2021B,object,XMM_J023120.23-053713.98_N708,LeathaudGreene,Merian,37.83431718853466,2020B-0288,-5.620550909179621,600.0,1,False
XMM_J023228.93-053329.34_N708,--,N708,104,38,S2021B,object,XMM_J023228.93-053329.34_N708,LeathaudGreene,Merian,38.12054366125532,2020B-0288,-5.558152753146309,600.0,1,False
XMM_J023338.74-053120.72_N708,--,N708,104,39,S2021B,object,XMM_J023338.74-053120.72_N708,LeathaudGreene,Merian,38.411451321165615,2020B-0288,-5.522422271933552,600.0,1,False
XMM_J023448.56-052913.31_N708,--,N708,104,40,S2021B,object,XMM_J023448.56-052913.31_N708,LeathaudGreene,Merian,38.70233930244352,2020B-0288,-5.487032265576732,600.0,1,False
XMM_J021116.07+005025.55_N708,--,N708,104,41,S2021B,object,XMM_J021116.07+005025.55_N708,LeathaudGreene,Merian,32.81697475133225,2020B-0288,0.8404311412134573,600.0,1,False
XMM_J021226.25+005426.76_N708,--,N708,104,42,S2021B,object,XMM_J021226.25+005426.76_N708,LeathaudGreene,Merian,33.10938586491351,2020B-0288,0.907436024500391,600.0,1,False
XMM_J021337.02+005646.04_N708,--,N708,104,43,S2021B,object,XMM_J021337.02+005646.04_N708,LeathaudGreene,Merian,33.40425140654364,2020B-0288,0.9461241864713089,600.0,1,False
XMM_J021447.79+005904.21_N708,--,N708,104,44,S2021B,object,XMM_J021447.79+005904.21_N708,LeathaudGreene,Merian,33.69914047082063,2020B-0288,0.9845042484429605,600.0,1,False
XMM_J021432.07-004523.22_N708,--,N708,104,45,S2021B,object,XMM_J021432.07-004523.22_N708,LeathaudGreene,Merian,33.63365964762176,2020B-0288,-0.7564523332451195,600.0,1,False
XMM_J021541.92-004124.58_N708,--,N708,104,46,S2021B,object,XMM_J021541.92-004124.58_N708,LeathaudGreene,Merian,33.92467116882605,2020B-0288,-0.6901630636463875,600.0,1,False
XMM_J021652.47-003906.97_N708,--,N708,104,47,S2021B,object,XMM_J021652.47-003906.97_N708,LeathaudGreene,Merian,34.21863278952544,2020B-0288,-0.6519364655493298,600.0,1,False
