,comment,filter,seqtot,seqnum,expType,object,proposer,program,RA,propid,dec,expTime
53,--,N708,168,54,science,G09,LeathaudGreene,Merian,137.73222215256095,2020B-XXXX,-0.4316542692079984,600.0
54,--,N708,168,55,science,G09,LeathaudGreene,Merian,138.0263597327014,2020B-XXXX,-0.47083710135900836,600.0
55,--,N708,168,56,science,G09,LeathaudGreene,Merian,138.3204763987143,2020B-XXXX,-0.5103509837176959,600.0
56,--,N708,168,57,science,G09,LeathaudGreene,Merian,136.64164357286143,2020B-XXXX,1.260487872699879,600.0
57,--,N708,168,58,science,G09,LeathaudGreene,Merian,136.9345112786159,2020B-XXXX,1.1978887440959092,600.0
58,--,N708,168,59,science,G09,LeathaudGreene,Merian,137.22954804730952,2020B-XXXX,1.1591440610107737,600.0
59,--,N708,168,60,science,G09,LeathaudGreene,Merian,137.52455266116556,2020B-XXXX,1.1200624023771975,600.0
60,--,N708,168,61,science,G09,LeathaudGreene,Merian,135.80667687214023,2020B-XXXX,2.887559778811653,600.0
61,--,N708,168,62,science,G09,LeathaudGreene,Merian,136.10115484420606,2020B-XXXX,2.8257683639325193,600.0
62,--,N708,168,63,science,G09,LeathaudGreene,Merian,136.39712265918496,2020B-XXXX,2.787489421535109,600.0
63,--,N708,168,64,science,G09,LeathaudGreene,Merian,136.69304729700522,2020B-XXXX,2.7488673694844605,600.0
64,--,N708,168,65,science,G09,LeathaudGreene,Merian,139.04392000830845,2020B-XXXX,-0.37761024828509376,600.0
65,--,N708,168,66,science,G09,LeathaudGreene,Merian,139.33523237425743,2020B-XXXX,-0.442460062256516,600.0
66,--,N708,168,67,science,G09,LeathaudGreene,Merian,139.629372779381,2020B-XXXX,-0.48250081080183915,600.0
67,--,N708,168,68,science,G09,LeathaudGreene,Merian,139.92349274641037,2020B-XXXX,-0.5228614881314347,600.0
68,--,N708,168,69,science,G09,LeathaudGreene,Merian,138.24233377749673,2020B-XXXX,1.2470390306702936,600.0
69,--,N708,168,70,science,G09,LeathaudGreene,Merian,138.5351502940499,2020B-XXXX,1.182927290553081,600.0
70,--,N708,168,71,science,G09,LeathaudGreene,Merian,138.83015630023482,2020B-XXXX,1.143310630464761,600.0
71,--,N708,168,72,science,G09,LeathaudGreene,Merian,139.1251303609203,2020B-XXXX,1.103368006882769,600.0
72,--,N708,168,73,science,G09,LeathaudGreene,Merian,137.41006808789655,2020B-XXXX,2.871944273867188,600.0
73,--,N708,168,74,science,G09,LeathaudGreene,Merian,137.7044431618336,2020B-XXXX,2.808612108753292,600.0
74,--,N708,168,75,science,G09,LeathaudGreene,Merian,138.00034823440967,2020B-XXXX,2.7694439341818597,600.0
75,--,N708,168,76,science,G09,LeathaudGreene,Merian,138.2962100491321,2020B-XXXX,2.7299435795726565,600.0
76,--,N708,168,77,science,G09,LeathaudGreene,Merian,140.653930335096,2020B-XXXX,-0.38666928479188506,600.0
77,--,N708,168,78,science,G09,LeathaudGreene,Merian,140.94524726464033,2020B-XXXX,-0.4529644547734546,600.0
78,--,N708,168,79,science,G09,LeathaudGreene,Merian,141.23939132500084,2020B-XXXX,-0.49383532186207413,600.0
79,--,N708,168,80,science,G09,LeathaudGreene,Merian,141.53351548978043,2020B-XXXX,-0.5350146959722137,600.0
80,--,N708,168,81,science,G09,LeathaudGreene,Merian,139.84901475143928,2020B-XXXX,1.2328475819109788,600.0
