,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
47,test,N708,248,48,Engineering run test,object,G09,LeathaudGreene,Merian,135.12739010878826,2020B-0288,-0.8386370769818108,600.0,1
48,test,N708,248,49,Engineering run test,object,G09,LeathaudGreene,Merian,133.46429716450294,2020B-0288,0.9421915852274385,600.0,1
49,test,N708,248,50,Engineering run test,object,G09,LeathaudGreene,Merian,133.75685046286168,2020B-0288,0.8808958100143832,600.0,1
50,test,N708,248,51,Engineering run test,object,G09,LeathaudGreene,Merian,134.05167775204387,2020B-0288,0.8421203668987136,600.0,1
51,test,N708,248,52,Engineering run test,object,G09,LeathaudGreene,Merian,134.34647270820534,2020B-0288,0.8029962428801174,600.0,1
52,test,N708,248,53,Engineering run test,object,G09,LeathaudGreene,Merian,132.6264722335313,2020B-0288,2.576015302731832,600.0,1
53,test,N708,248,54,Engineering run test,object,G09,LeathaudGreene,Merian,132.92068262123473,2020B-0288,2.515553674545232,600.0,1
54,test,N708,248,55,Engineering run test,object,G09,LeathaudGreene,Merian,133.2164505347117,2020B-0288,2.4772501904196345,600.0,1
55,test,N708,248,56,Engineering run test,object,G09,LeathaudGreene,Merian,133.51217532924446,2020B-0288,2.438592007888427,600.0,1
56,test,N708,248,57,Engineering run test,object,G09,LeathaudGreene,Merian,131.70605398013893,2020B-0288,4.1880660801191985,600.0,1
57,test,N708,248,58,Engineering run test,object,G09,LeathaudGreene,Merian,132.00195955429456,2020B-0288,4.128535759939462,600.0,1
58,test,N708,248,59,Engineering run test,object,G09,LeathaudGreene,Merian,132.29869336956068,2020B-0288,4.090760242374234,600.0,1
59,test,N708,248,60,Engineering run test,object,G09,LeathaudGreene,Merian,132.59537366828633,2020B-0288,4.0526235187878425,600.0,1
60,test,N708,248,61,Engineering run test,object,G09,LeathaudGreene,Merian,135.8406383435916,2020B-0288,-0.7174402622984495,600.0,1
61,test,N708,248,62,Engineering run test,object,G09,LeathaudGreene,Merian,136.1315831779051,2020B-0288,-0.7810316593135497,600.0,1
62,test,N708,248,63,Engineering run test,object,G09,LeathaudGreene,Merian,136.42550248223696,2020B-0288,-0.821102634056803,600.0,1
63,test,N708,248,64,Engineering run test,object,G09,LeathaudGreene,Merian,136.71940108586338,2020B-0288,-0.8615058158383699,600.0,1
64,test,N708,248,65,Engineering run test,object,G09,LeathaudGreene,Merian,135.05370289782238,2020B-0288,0.919318602512846,600.0,1
65,test,N708,248,66,Engineering run test,object,G09,LeathaudGreene,Merian,135.34620612171824,2020B-0288,0.8564750044221223,600.0,1
66,test,N708,248,67,Engineering run test,object,G09,LeathaudGreene,Merian,135.641003605867,2020B-0288,0.8168248271845666,600.0,1
67,test,N708,248,68,Engineering run test,object,G09,LeathaudGreene,Merian,135.93576906463767,2020B-0288,0.7768366311750744,600.0,1
68,test,N708,248,69,Engineering run test,object,G09,LeathaudGreene,Merian,134.22434402440746,2020B-0288,2.553748544185409,600.0,1
69,test,N708,248,70,Engineering run test,object,G09,LeathaudGreene,Merian,134.51845594601065,2020B-0288,2.4917058773074183,600.0,1
70,test,N708,248,71,Engineering run test,object,G09,LeathaudGreene,Merian,134.81416333744122,2020B-0288,2.4525072580611473,600.0,1
71,test,N708,248,72,Engineering run test,object,G09,LeathaudGreene,Merian,135.1098275995951,2020B-0288,2.412964553630159,600.0,1
72,test,N708,248,73,Engineering run test,object,G09,LeathaudGreene,Merian,133.32648633389684,2020B-0288,4.173201006373399,600.0,1
73,test,N708,248,74,Engineering run test,object,G09,LeathaudGreene,Merian,133.62225219583777,2020B-0288,4.112040085559487,600.0,1
74,test,N708,248,75,Engineering run test,object,G09,LeathaudGreene,Merian,133.91889874345853,2020B-0288,4.073339591235546,600.0,1
75,test,N708,248,76,Engineering run test,object,G09,LeathaudGreene,Merian,134.21549138332375,2020B-0288,4.034288529269326,600.0,1
76,test,N708,248,77,Engineering run test,object,G09,LeathaudGreene,Merian,137.43765227070367,2020B-0288,-0.7365759579834422,600.0,1
77,test,N708,248,78,Engineering run test,object,G09,LeathaudGreene,Merian,137.72860241899608,2020B-0288,-0.8016494427566292,600.0,1
78,test,N708,248,79,Engineering run test,object,G09,LeathaudGreene,Merian,138.02252673981266,2020B-0288,-0.8425532662480577,600.0,1
79,test,N708,248,80,Engineering run test,object,G09,LeathaudGreene,Merian,138.3164310161188,2020B-0288,-0.8837782317139067,600.0,1
80,test,N708,248,81,Engineering run test,object,G09,LeathaudGreene,Merian,136.64810692615896,2020B-0288,0.8969304900540935,600.0,1
81,test,N708,248,82,Engineering run test,object,G09,LeathaudGreene,Merian,136.940561245525,2020B-0288,0.8325827857861037,600.0,1
82,test,N708,248,83,Engineering run test,object,G09,LeathaudGreene,Merian,137.23532976392983,2020B-0288,0.7920857748767792,600.0,1
83,test,N708,248,84,Engineering run test,object,G09,LeathaudGreene,Merian,137.53006663988432,2020B-0288,0.7512617005123448,600.0,1
84,test,N708,248,85,Engineering run test,object,G09,LeathaudGreene,Merian,135.82316182175748,2020B-0288,2.529012610072291,600.0,1
85,test,N708,248,86,Engineering run test,object,G09,LeathaudGreene,Merian,136.1171724015416,2020B-0288,2.4654362603234508,600.0,1
86,test,N708,248,87,Engineering run test,object,G09,LeathaudGreene,Merian,136.41281783095135,2020B-0288,2.4253724848183116,600.0,1
87,test,N708,248,88,Engineering run test,object,G09,LeathaudGreene,Merian,136.70842022554578,2020B-0288,2.384975509773068,600.0,1
88,test,N708,248,89,Engineering run test,object,G09,LeathaudGreene,Merian,134.9418097820799,2020B-0288,4.1529474737381955,600.0,1
89,test,N708,248,90,Engineering run test,object,G09,LeathaudGreene,Merian,135.2374288192408,2020B-0288,4.090209777473338,600.0,1
90,test,N708,248,91,Engineering run test,object,G09,LeathaudGreene,Merian,135.53398426461368,2020B-0288,4.050618027015133,600.0,1
91,test,N708,248,92,Engineering run test,object,G09,LeathaudGreene,Merian,135.83048554635295,2020B-0288,4.010686591506057,600.0,1
92,test,N708,248,93,Engineering run test,object,G09,LeathaudGreene,Merian,139.04067983401566,2020B-0288,-0.7552081406383654,600.0,1
93,test,N708,248,94,Engineering run test,object,G09,LeathaudGreene,Merian,139.33163765914466,2020B-0288,-0.8217184544474808,600.0,1
94,test,N708,248,95,Engineering run test,object,G09,LeathaudGreene,Merian,139.62556850157608,2020B-0288,-0.863426306882704,600.0,1
95,test,N708,248,96,Engineering run test,object,G09,LeathaudGreene,Merian,139.91948002081065,2020B-0288,-0.9054439441743767,600.0,1
96,test,N708,248,97,Engineering run test,object,G09,LeathaudGreene,Merian,138.2484977648482,2020B-0288,0.8740359325746659,600.0,1
97,test,N708,248,98,Engineering run test,object,G09,LeathaudGreene,Merian,138.5409034700796,2020B-0288,0.8082285811155285,600.0,1
98,test,N708,248,99,Engineering run test,object,G09,LeathaudGreene,Merian,138.83564336751348,2020B-0288,0.7669130894143786,600.0,1
99,test,N708,248,100,Engineering run test,object,G09,LeathaudGreene,Merian,139.1303520870234,2020B-0288,0.7252817839750575,600.0,1
100,test,N708,248,101,Engineering run test,object,G09,LeathaudGreene,Merian,137.42595125621597,2020B-0288,2.5037882946848597,600.0,1
101,test,N708,248,102,Engineering run test,object,G09,LeathaudGreene,Merian,137.7198596205756,2020B-0288,2.4387241366468757,600.0,1
102,test,N708,248,103,Engineering run test,object,G09,LeathaudGreene,Merian,138.0154427807493,2020B-0288,2.397824362175391,600.0,1
103,test,N708,248,104,Engineering run test,object,G09,LeathaudGreene,Merian,138.31098309162437,2020B-0288,2.35660255880652,600.0,1
104,test,N708,248,105,Engineering run test,object,G09,LeathaudGreene,Merian,136.55703894892406,2020B-0288,4.128256272643563,600.0,1
105,test,N708,248,106,Engineering run test,object,G09,LeathaudGreene,Merian,136.85250519990714,2020B-0288,4.063991749267179,600.0,1
106,test,N708,248,107,Engineering run test,object,G09,LeathaudGreene,Merian,137.14896636886832,2020B-0288,4.023540254973626,600.0,1
