,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
46,--,N708,384,47,TEST,science,GAMA,LeathaudGreene,Merian,204.96838903449054,2020B-XXXX,-1.027406577668117,600.0,1
47,--,N708,384,48,TEST,science,GAMA,LeathaudGreene,Merian,205.26321606380742,2020B-XXXX,-1.0701530260136232,600.0,1
48,--,N708,384,49,TEST,science,GAMA,LeathaudGreene,Merian,179.0676489714745,2020B-XXXX,1.7831324811845823,600.0,1
49,--,N708,384,50,TEST,science,GAMA,LeathaudGreene,Merian,179.35917440121986,2020B-XXXX,1.6997678022601033,600.0,1
50,--,N708,384,51,TEST,science,GAMA,LeathaudGreene,Merian,179.65336546440844,2020B-XXXX,1.649720754683439,600.0,1
51,--,N708,384,52,TEST,science,GAMA,LeathaudGreene,Merian,179.94754147403899,2020B-XXXX,1.5997004963226404,600.0,1
52,--,N708,384,53,TEST,science,GAMA,LeathaudGreene,Merian,178.1355073693646,2020B-XXXX,0.3935295462289744,600.0,1
53,--,N708,384,54,TEST,science,GAMA,LeathaudGreene,Merian,178.42714203495797,2020B-XXXX,0.3101082454839691,600.0,1
54,--,N708,384,55,TEST,science,GAMA,LeathaudGreene,Merian,178.72146485531064,2020B-XXXX,0.2599822100989436,600.0,1
55,--,N708,384,56,TEST,science,GAMA,LeathaudGreene,Merian,179.01578437705007,2020B-XXXX,0.20987461599790302,600.0,1
56,--,N708,384,57,TEST,science,GAMA,LeathaudGreene,Merian,178.134094413877,2020B-XXXX,3.178530799883001,600.0,1
57,--,N708,384,58,TEST,science,GAMA,LeathaudGreene,Merian,178.42559283861974,2020B-XXXX,3.095109426730995,600.0,1
58,--,N708,384,59,TEST,science,GAMA,LeathaudGreene,Merian,178.71969927467435,2020B-XXXX,3.0449832626834206,600.0,1
59,--,N708,384,60,TEST,science,GAMA,LeathaudGreene,Merian,179.01377741116042,2020B-XXXX,2.994875505225111,600.0,1
60,--,N708,384,61,TEST,science,GAMA,LeathaudGreene,Merian,177.20395195290433,2020B-XXXX,1.7911912662010332,600.0,1
61,--,N708,384,62,TEST,science,GAMA,LeathaudGreene,Merian,177.49555967443567,2020B-XXXX,1.7077354334381833,600.0,1
62,--,N708,384,63,TEST,science,GAMA,LeathaudGreene,Merian,177.78979790400152,2020B-XXXX,1.6575436939194348,600.0,1
63,--,N708,384,64,TEST,science,GAMA,LeathaudGreene,Merian,178.08401957716703,2020B-XXXX,1.6073620254624543,600.0,1
64,--,N708,384,65,TEST,science,GAMA,LeathaudGreene,Merian,176.27301909741666,2020B-XXXX,0.3991153520216946,600.0,1
65,--,N708,384,66,TEST,science,GAMA,LeathaudGreene,Merian,176.56467041177982,2020B-XXXX,0.31564704959077955,600.0,1
66,--,N708,384,67,TEST,science,GAMA,LeathaudGreene,Merian,176.85900107929163,2020B-XXXX,0.2654029140088838,600.0,1
67,--,N708,384,68,TEST,science,GAMA,LeathaudGreene,Merian,177.15332697788025,2020B-XXXX,0.21516049724146874,600.0,1
68,--,N708,384,69,TEST,science,GAMA,LeathaudGreene,Merian,176.27020237508285,2020B-XXXX,3.1951203560724504,600.0,1
69,--,N708,384,70,TEST,science,GAMA,LeathaudGreene,Merian,176.5618495466172,2020B-XXXX,3.111652049342886,600.0,1
70,--,N708,384,71,TEST,science,GAMA,LeathaudGreene,Merian,176.856042730593,2020B-XXXX,3.0614077717493453,600.0,1
71,--,N708,384,72,TEST,science,GAMA,LeathaudGreene,Merian,177.15020602077144,2020B-XXXX,3.011165178300338,600.0,1
72,--,N708,384,73,TEST,science,GAMA,LeathaudGreene,Merian,175.3432671699983,2020B-XXXX,1.8053031689680905,600.0,1
73,--,N708,384,74,TEST,science,GAMA,LeathaudGreene,Merian,175.6349579899877,2020B-XXXX,1.7218444042990313,600.0,1
74,--,N708,384,75,TEST,science,GAMA,LeathaudGreene,Merian,175.92924365535657,2020B-XXXX,1.6715611725717625,600.0,1
75,--,N708,384,76,TEST,science,GAMA,LeathaudGreene,Merian,176.22351120931626,2020B-XXXX,1.6212713075224296,600.0,1
76,--,N708,384,77,TEST,science,GAMA,LeathaudGreene,Merian,174.41654121517752,2020B-XXXX,0.40974553880535425,600.0,1
77,--,N708,384,78,TEST,science,GAMA,LeathaudGreene,Merian,174.70820988240578,2020B-XXXX,0.32631815029784794,600.0,1
78,--,N708,384,79,TEST,science,GAMA,LeathaudGreene,Merian,175.00254859029516,2020B-XXXX,0.27600912479081635,600.0,1
79,--,N708,384,80,TEST,science,GAMA,LeathaudGreene,Merian,175.29688100813607,2020B-XXXX,0.22568514737732223,600.0,1
80,--,N708,384,81,TEST,science,GAMA,LeathaudGreene,Merian,172.56707594263716,2020B-XXXX,0.4234049337869805,600.0,1
81,--,N708,384,82,TEST,science,GAMA,LeathaudGreene,Merian,172.8587631671079,2020B-XXXX,0.34010538828492626,600.0,1
82,--,N708,384,83,TEST,science,GAMA,LeathaudGreene,Merian,173.15311051759116,2020B-XXXX,0.2897842310052831,600.0,1
83,--,N708,384,84,TEST,science,GAMA,LeathaudGreene,Merian,173.44745003132948,2020B-XXXX,0.2394315292579568,600.0,1
84,--,N708,384,85,TEST,science,GAMA,LeathaudGreene,Merian,170.7276259667653,2020B-XXXX,0.4400695205365673,600.0,1
