object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J144721.97-005253.77_N708,--,N708,704,32,S2021A,object,GAMA_J144721.97-005253.77_N708,LeathaudGreene,Merian,221.84157278748478,2020B-0288,-0.8816050196827646,600.0,1,False
GAMA_J143407.37+004940.04_N708,--,N708,704,33,S2021A,object,GAMA_J143407.37+004940.04_N708,LeathaudGreene,Merian,218.53074359619444,2020B-0288,0.8277903389977281,600.0,1,False
GAMA_J143517.18+004557.86_N708,--,N708,704,34,S2021A,object,GAMA_J143517.18+004557.86_N708,LeathaudGreene,Merian,218.82161379128823,2020B-0288,0.7660729052312055,600.0,1,False
GAMA_J143627.71+004350.80_N708,--,N708,704,35,S2021A,object,GAMA_J143627.71+004350.80_N708,LeathaudGreene,Merian,219.11549013993695,2020B-0288,0.7307796170231627,600.0,1,False
GAMA_J143738.25+004145.00_N708,--,N708,704,36,S2021A,object,GAMA_J143738.25+004145.00_N708,LeathaudGreene,Merian,219.40937867473764,2020B-0288,0.6958333480566339,600.0,1,False
GAMA_J143723.82-004623.97_N708,--,N708,704,37,S2021A,object,GAMA_J143723.82-004623.97_N708,LeathaudGreene,Merian,219.3492788704671,2020B-0288,-0.7733267327496112,600.0,1,False
GAMA_J143834.01-005003.24_N708,--,N708,704,38,S2021A,object,GAMA_J143834.01-005003.24_N708,LeathaudGreene,Merian,219.6417314392292,2020B-0288,-0.8342342925631145,600.0,1,False
GAMA_J143944.78-005208.43_N708,--,N708,704,39,S2021A,object,GAMA_J143944.78-005208.43_N708,LeathaudGreene,Merian,219.9366170756427,2020B-0288,-0.8690102009992243,600.0,1,False
GAMA_J144055.56-005412.35_N708,--,N708,704,40,S2021A,object,GAMA_J144055.56-005412.35_N708,LeathaudGreene,Merian,220.23152540213135,2020B-0288,-0.9034330408419875,600.0,1,False
GAMA_J142738.00+004816.06_N708,--,N708,704,41,S2021A,object,GAMA_J142738.00+004816.06_N708,LeathaudGreene,Merian,216.90837400280407,2020B-0288,0.8044619507959001,600.0,1,False
GAMA_J142847.83+004428.24_N708,--,N708,704,42,S2021A,object,GAMA_J142847.83+004428.24_N708,LeathaudGreene,Merian,217.19929172427146,2020B-0288,0.7411782806456028,600.0,1,False
GAMA_J142958.36+004217.58_N708,--,N708,704,43,S2021A,object,GAMA_J142958.36+004217.58_N708,LeathaudGreene,Merian,217.49319676620027,2020B-0288,0.7048835759845402,600.0,1,False
GAMA_J143108.90+004008.13_N708,--,N708,704,44,S2021A,object,GAMA_J143108.90+004008.13_N708,LeathaudGreene,Merian,217.78711404401113,2020B-0288,0.6689250271297013,600.0,1,False
GAMA_J143055.25-004727.35_N708,--,N708,704,45,S2021A,object,GAMA_J143055.25-004727.35_N708,LeathaudGreene,Merian,217.73022371949276,2020B-0288,-0.7909309137015527,600.0,1,False
GAMA_J143205.44-005112.33_N708,--,N708,704,46,S2021A,object,GAMA_J143205.44-005112.33_N708,LeathaudGreene,Merian,218.02266959544954,2020B-0288,-0.853426683143451,600.0,1,False
GAMA_J143316.21-005321.17_N708,--,N708,704,47,S2021A,object,GAMA_J143316.21-005321.17_N708,LeathaudGreene,Merian,218.31755257630016,2020B-0288,-0.8892164183621415,600.0,1,False
GAMA_J143426.99-005528.78_N708,--,N708,704,48,S2021A,object,GAMA_J143426.99-005528.78_N708,LeathaudGreene,Merian,218.61245856581797,2020B-0288,-0.9246638237271604,600.0,1,False
GAMA_J142106.24+004650.42_N708,--,N708,704,49,S2021A,object,GAMA_J142106.24+004650.42_N708,LeathaudGreene,Merian,215.27601325669005,2020B-0288,0.7806740598567055,600.0,1,False
GAMA_J142216.07+004257.11_N708,--,N708,704,50,S2021A,object,GAMA_J142216.07+004257.11_N708,LeathaudGreene,Merian,215.56697813513787,2020B-0288,0.7158657143330992,600.0,1,False
GAMA_J142326.61+004042.93_N708,--,N708,704,51,S2021A,object,GAMA_J142326.61+004042.93_N708,LeathaudGreene,Merian,215.86091163077685,2020B-0288,0.6785927927170144,600.0,1,False
